pubmed	year	title	professors
19890327	2009	Soft colloids make strong glasses.	
35161264	2022	A Beneficial Plant-Associated Fungus Shifts the Balance toward Plant Growth over Resistance, Increasing Cucumber Tolerance to Root Herbivory.	
28344637	2017	Growth curve registration for evaluating salinity tolerance in barley.	
33459462	2021	Stiffness Tomography of Ultra-Soft Nanogels by Atomic Force Microscopy.	
21584291	2011	Spin-crossover in [Fe(3-bpp)2][BF4]2 in different solvents--a dramatic stabilisation of the low-spin state in water.	
35895201	2022	Phenotyping Complex Plant Structures with a Large Format Industrial Scale High-Resolution X-Ray Tomography Instrument.	
28657717	2017	Hydrogenation of CO	
33265001	2021	Chemical recycling of poly-(bisphenol A carbonate) by diaminolysis: A new carbon-saving synthetic entry into non-isocyanate polyureas (NIPUreas).	
15001715	2004	The Ashbya gossypii genome as a tool for mapping the ancient Saccharomyces cerevisiae genome.	
9003321	1996	Isolation of a carbon source-regulated gene from Ustilago maydis.	
36126561	2022	Continuous manufacturing of monoclonal antibodies: Automated downstream control strategy for dynamic handling of titer variations.	
34302548	2021	Synergistic effect of UV, thermal, and chemical treatment on biological degradation of low-density polyethylene (LDPE) by Thermomyces lanuginosus.	
20200072	2010	Probing the reproducibility of leaf growth and molecular phenotypes: a comparison of three Arabidopsis accessions cultivated in ten laboratories.	
35568955	2022	Microfluidic screening and genomic mutation identification for enhancing cellulase production in Pichia pastoris.	
15831391	2005	Stress tolerance in fungi -- to kill a spoilage yeast.	
24812276	2014	Synthesis of highly elastic biocompatible polyurethanes based on bio-based isosorbide and poly(tetramethylene glycol) and their properties.	
23338990	2013	Degradation of dyes from aqueous solution by Fenton processes: a review.	
33428301	2021	Hypercrosslinked Polymers as a Photocatalytic Platform for Visible-Light-Driven CO	
27085887	2016	Design of inducible expression vectors for improved protein production in Ralstonia eutropha H16 derived host strains.	
16011325	2005	Sensitivity analysis for chemical models.	
24816780	2014	Novel bacterial bioassay for a high-throughput screening of 4-hydroxyphenylpyruvate dioxygenase inhibitors.	
20225897	2010	Applications of direct analysis in real time mass spectrometry (DART-MS) in Allium chemistry. 2-propenesulfenic and 2-propenesulfinic acids, diallyl trisulfane S-oxide, and other reactive sulfur compounds from crushed garlic and other Alliums.	
33826065	2021	Co-immobilized Alcohol Dehydrogenase and Glucose Dehydrogenase with Resin Extraction for Continuous Production of Chiral Diaryl Alcohol.	
27164024	2016	Main Group Lewis Acid-Mediated Transformations of Transition-Metal Hydride Complexes.	
27166751	2016	Chemical Modification in the Design of Immobilized Enzyme Biocatalysts: Drawbacks and Opportunities.	
36188320	2022	A Review on Carbon Dioxide Minimization in Biogas Upgradation Technology by Chemical Absorption Processes.	
32950238	2022	"Commentary: The proximal descending aorta is a ""cruel mistress"" and should not be ignored."	
28485481	2017	Group 4 Metal Complexes of Phenylene-Salalen Ligands in rac-Lactide Polymerization Giving High Molecular Weight Stereoblock Poly(lactic acid).	
26026844	2015	Surface topography enhances differentiation of mesenchymal stem cells towards osteogenic and adipogenic lineages.	
29355319	2018	Recurrent Neural Network Model for Constructive Peptide Design.	
19149468	2009	Solution structure and dynamics, stability, and NIR emission properties of lanthanide complexes with a carboxylated bispyrazolylpyridyl ligand.	
22522253	2012	Integrated 3D-printed reactionware for chemical synthesis and analysis.	
25136131	2014	Efficient biomass pretreatment using ionic liquids derived from lignin and hemicellulose.	
23039071	2012	Key hydride vibrational modes in [NiFe] hydrogenase model compounds studied by resonance Raman spectroscopy and density functional calculations.	
12144282	2002	Degradation of herbicide 4-chlorophenoxyacetic acid by advanced electrochemical oxidation methods.	
26213424	2015	Molybdenum L-Edge XAS Spectra of MoFe Nitrogenase.	
17076497	2006	Dramatic solvent and hydration effects on the transition state of soybean peroxidase.	
28955360	2017	Combined Effects of Elevated O	
32909749	2020	Stimuli-Responsive Two-Dimensional Supramolecular Polymers Based on Trinuclear Platinum(II) Scaffolds: Reversible Modulation of Photoluminescence, Cavity Size, and Water Permeability.	
25847185	2015	Validation of a predictive model for the growth of chalk yeasts on bread.	
27643612	2016	The Breathing Cell: Cyclic Intermembrane Distance Variation in Reverse Electrodialysis.	
26230427	2015	Light-Dependent Protochlorophyllide Oxidoreductase: Phylogeny, Regulation, and Catalytic Properties.	
24362253	2014	Development of a panel of high-throughput reporter-gene assays to detect genotoxicity and oxidative stress.	
15563623	2004	Glutamate dehydrogenase of tobacco is mainly induced in the cytosol of phloem companion cells when ammonia is provided either externally or released during photorespiration.	
33799029	2021	DNA-copper hybrid nanoflowers as efficient laccase mimics for colorimetric detection of phenolic compounds in paper microfluidic devices.	
22170310	2012	Resting cells of recombinant E. coli show high epoxidation yields on energy source and high sensitivity to product inhibition.	
18650101	2008	Molecular ions of ionic liquids in the gas phase.	
32943526	2020	Predicted growth in plastic waste exceeds efforts to mitigate plastic pollution.	
33485863	2021	Screening of perhydrolases to optimize glucose oxidase-perhydrolase-in situ chemical oxidation cascade reaction system and its application in melanin decolorization.	
24434036	2014	Advanced imaging techniques for the study of plant growth and development.	
28843199	2017	Thiol-ene miniemulsion polymerization of a biobased monomer for biomedical applications.	
21575673	2011	Visualizing multi-omics data in metabolic networks with the software Omix: a case study.	
32379964	2020	Improved Production of Malic Acid in 	
18463696	2008	How protein stability and new functions trade off.	
17947576	2007	Mussel-inspired surface chemistry for multifunctional coatings.	
36266645	2022	Comparative genomic and transcriptomic analyses of trans-kingdom pathogen Fusarium solani species complex reveal degrees of compartmentalization.	
23748672	2013	Evolution of a designed retro-aldolase leads to complete active site remodeling.	
18058968	2008	Predicting drug-resistant mutations of HIV protease.	
30474950	2018	Bioinspired Concentric-Cylindrical Multilayered Scaffolds with Controllable Architectures: Facile Preparation and Biological Applications.	
34971884	2022	Improvement of catalytic performance of endoglucanase CgEndo from Colletotrichum graminicola by site-directed mutagenesis.	
29753938	2018	Electrotrophic activity and electrosynthetic acetate production by Desulfobacterium autotrophicum HRM2.	
29589761	2018	Drop Capturing Based on Patterned Substrate in Space.	
27900443	2017	P450	
31599123	2019	Scaffold with Micro/Macro-Architecture for Myocardial Alignment Engineering into Complex 3D Cell Patterns.	
30979809	2019	Machine learning-assisted directed protein evolution with combinatorial libraries.	
18840269	2008	Fast quantitative determination of microbial rhamnolipids from cultivation broths by ATR-FTIR Spectroscopy.	
34333248	2021	Characterization of copper complexes with derivatives of the ligand (2-aminoethyl)bis(2-pyridylmethyl)amine (uns-penp) and their reactivity towards oxygen.	
20451644	2010	A glimpse into the basis of vision in the kingdom Mycota.	
23505369	2013	Influenza virus aerosols in human exhaled breath: particle size, culturability, and effect of surgical masks.	
34771249	2021	Upcycling Biodegradable PVA/Starch Film to a Bacterial Biopigment and Biopolymer.	
21414417	2011	EMILiO: a fast algorithm for genome-scale strain design.	
34959330	2021	Dually Cross-Linked Core-Shell Structure Nanohydrogel with Redox-Responsive Degradability for Intracellular Delivery.	
16516322	2006	Cytochromes P450 as versatile biocatalysts.	
33820304	2021	Orders of magnitude loss reduction in photonic bandgap fibers by engineering the core surround.	
16797943	2006	Protein adsorption from flowing solutions on pure and maleic acid copolymer modified glass particles.	
25061898	2014	Green toxicology.	
32029361	2020	Exploring the application of wild species for crop improvement in a changing climate.	
23203056	2012	Construction of mutant glucose oxidases with increased dye-mediated dehydrogenase activity.	
27232303	2016	pH-responsive zwitterionic polypeptide as a platform for anti-tumor drug delivery.	
19787828	2009	Spectrum of anemia associated with chronic liver disease.	
28553501	2017	Silica-supported isolated gallium sites as highly active, selective and stable propane dehydrogenation catalysts.	
32201849	2020	Kinetics of Methyl Lactate Formation from the Transesterification of Polylactic Acid Catalyzed by Zn(II) Complexes.	
29274936	2018	Re-polarization of nuclear spins using selective SABRE-INEPT.	
35283539	2022	Link between Morphology, Structure, and Interactions of Composite Microgels.	
36099200	2023	Microbial enzymes will offer limited solutions to the global plastic pollution crisis.	
17241039	2007	Effect of surface chemistry, solution pH, and ionic strength on the removal of herbicides diuron and amitrole from water by an activated carbon fiber.	
24688669	2012	Metabolic modelling in the development of cell factories by synthetic biology.	
18336574	2008	Engineering triterpene production in Saccharomyces cerevisiae-beta-amyrin synthase from Artemisia annua.	
34172951	2021	Microbial production of advanced biofuels.	
24983528	2014	Insights on the regulation of the phenylacetate degradation pathway from Escherichia coli.	
24274176	2013	Encapsulation of laccase in silica colloidosomes for catalysis in organic media.	
36092678	2022	Design of highly active Ni catalysts supported on carbon nanofibers for the hydrolytic hydrogenation of cellobiose.	
23200839	2013	7-Hydroxymethyl chlorophyll a reductase functions in metabolic channeling of chlorophyll breakdown intermediates during leaf senescence.	
36170063	2023	Catalysis of Alloys: Classification, Principles, and Design for a Variety of Materials and Reactions.	
34403645	2021	Ancestral predisposition toward a domesticated lifestyle in the termite-cultivated fungus Termitomyces.	
33127277	2021	Influence of pre-screening on down-stream processing for the production of plastic enriched fractions for recycling from mixed commercial and municipal waste.	
31060353	2019	Regio- and Diastereoselective Iron-Catalyzed [4+4]-Cycloaddition of 1,3-Dienes.	
18256669	2008	Palaeotemperature trend for Precambrian life inferred from resurrected proteins.	
33032255	2020	Rewiring yeast metabolism to synthesize products beyond ethanol.	
16955487	2006	Semiempirical GGA-type density functional constructed with a long-range dispersion correction.	
34621401	2021	Isolation and characterization of new phenolic siderophores with antimicrobial properties from 	
16541134	2006	Phenotypic variation in bacteria: the role of feedback regulation.	
32205448	2020	A neuroglobin-based high-affinity ligand trap reverses carbon monoxide-induced mitochondrial poisoning.	
34103083	2021	Plasma metabolomic profiling in patients with rheumatoid arthritis identifies biochemical features predictive of quantitative disease activity.	
31677395	2020	Microvascular engineering: Dynamic changes in microgel-entrapped vascular cells correlates with higher vasculogenic/angiogenic potential.	
15450450	2004	Fundamental studies on the intermediate layer of a bipolar membrane. Part II. Effect of bovine serum albumin (BSA) on water dissociation at the interface of a bipolar membrane.	
27196338	2016	Cell-Imprinted Substrates Modulate Differentiation, Redifferentiation, and Transdifferentiation.	
34598210	2021	Ultrasmooth, biocompatible, and removable nanocoating for hollow-core microstructured optical fibers.	
34927956	2021	Recent Advances and Perspective on Electrochemical Ammonia Synthesis under Ambient Conditions.	
12455828	2002	Role of cation-pi interactions to the stability of thermophilic proteins.	
25620543	2015	An overview of nanoparticles commonly used in fluorescent bioimaging.	
27042862	2016	MARTINI Coarse-Grained Model of Triton TX-100 in Pure DPPC Monolayer and Bilayer Interfaces.	
34919322	2022	Perspectives for the Upgrading of Bio-Based Vicinal Diols within the Developing European Bioeconomy.	
31734058	2020	Protein surface engineering of endoglucanase Penicillium verruculosum for improvement in thermostability and stability in the presence of 1-butyl-3-methylimidazolium chloride ionic liquid.	
25171514	2014	Cytokinin oxidase/dehydrogenase overexpression modifies antioxidant defense against heat, drought and their combination in Nicotiana tabacum plants.	
12964165	2003	Thermostabilization of a cytochrome p450 peroxygenase.	
27966925	2016	Efficient Extracellular Expression of Metalloprotease for Z-Aspartame Synthesis.	
23406535	2013	Extracorporeal membrane oxygenation (ECMO) in patients with H1N1 influenza infection: a systematic review and meta-analysis including 8 studies and 266 patients receiving ECMO.	
12968989	2003	Inter-individual variability in levels of human microsomal protein and hepatocellularity per gram of liver.	
20136109	2010	Probing the interaction of 1-ethyl-3-methylimidazolium ethyl sulfate ([Emim][EtSO4]) with alcohols and water by solvent and rotational relaxation.	
18707856	2008	Fourteen coprophilous species of Psathyrella identified in the Nordic countries using morphology and nuclear rDNA sequence data.	
24211734	2014	Significance of calcium phosphate coatings for the enhancement of new bone osteogenesis--a review.	
12702436	2002	Control of mesoporous structure of aerogels derived from cresol-formaldehyde.	
28956043	2017	Biomembrane solubilization mechanism by Triton X-100: a computational study of the three stage model.	
33805506	2021	Biomedical Applications of Bacteria-Derived Polymers.	
21287615	2011	Role of conformational sampling in computing mutation-induced changes in protein structure and stability.	
33494801	2021	Approaches to genetic tool development for rapid domestication of non-model microorganisms.	
19561590	2009	Predicting the effects of coding non-synonymous variants on protein function using the SIFT algorithm.	
34601883	2021	Aggregation of Halloysite Nanotubes in the Presence of Multivalent Ions and Ionic Liquids.	
27113440	2016	A method for analysis and design of metabolism using metabolomics data and kinetic models: Application on lipidomics using a novel kinetic model of sphingolipid metabolism.	
21061239	2010	The influence of nanoscale topographical cues on initial osteoblast morphology and migration.	
16993128	1912	The laws of combination of haemoglobin with carbon monoxide and oxygen.	
11591611	2001	Early outcome after off-pump versus on-pump coronary bypass surgery: results from a randomized study.	
27614173	2016	Cyanobacterial metabolic engineering for biofuel and chemical production.	
18582096	2008	Molecular dynamics study of the solvation of an alpha-helical transmembrane peptide by DMSO.	
15374835	2004	Species-specific variation in the importance of the spectral quality gradient in canopies as a signal for photosynthetic resource partitioning.	
34423630	2021	Assessing the Relative Climate Impact of Carbon Utilization for Concrete, Chemical, and Mineral Production.	
15102468	2004	High-throughput phenomics: experimental methods for mapping fluxomes.	
21567551	2010	PNIPAM Copolymers Containing Light-Responsive Chromophores: A Method Toward Molecular Logic Gates.	
30591796	2018	Insights of antidiabetic, anti-inflammatory and hepatoprotective properties of antimicrobial secondary metabolites of corm extract from 	
33431035	2020	Molecular representations in AI-driven drug discovery: a review and practical guide.	
26736250	2015	The platelet hammer: In vitro platelet activation under repetitive hypershear.	
21159428	2011	Microwave-enhanced synthesis of magnetic porous covalent triazine-based framework composites for fast separation of organic dye from aqueous solution.	
862649	1977	Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.	
33484737	2021	Harnessing molecular recognition for localized drug delivery.	
35621498	2022	MatriGrid	
22455668	2012	Differential growth response and carbohydrate metabolism of global collection of perennial ryegrass accessions to submergence and recovery following de-submergence.	
33714019	2021	Discovery of synergistic material-topography combinations to achieve immunomodulatory osteoinductive biomaterials using a novel in vitro screening method: The ChemoTopoChip.	
22475788	2012	Next-generation education in crop genetics.	
33017534	2020	A RAGE Based Strategy for the Genome Engineering of the Human Respiratory Pathogen 	
19073603	2009	Nuclear quantum tunneling in the light-activated enzyme protochlorophyllide oxidoreductase.	
36281261	2022	Metabolomics and modelling approaches for systems metabolic engineering.	
20297780	2010	P450cam visits an open conformation in the absence of substrate.	
8181697	1994	Effect of culture conditions on the NADH/NAD ratio and total amounts of NAD(H) in chemostat cultures of Enterococcus faecalis NCTC 775.	
27857205	2016	Principles of proteome allocation are revealed using proteomic data and genome-scale models.	
30632374	2019	Selective Hydroboration of Carboxylic Acids with a Homogeneous Manganese Catalyst.	
29077904	2018	UFBoot2: Improving the Ultrafast Bootstrap Approximation.	
31612991	2020	Ultrahigh-cell-density heterotrophic cultivation of the unicellular green microalga Scenedesmus acuminatus and application of the cells to photoautotrophic culture enhance biomass and lipid production.	
33585084	2021	Toward the Recovery of Platinum Group Metals from a Spent Automotive Catalyst with Supported Ionic Liquid Phases.	
21109488	2011	Production of hyaluronic acid from Streptococcus zooepidemicus MTCC 3523 and its wound healing activity.	
36080151	2022	Hydrodeoxygenation of Levulinic Acid to γ-Valerolactone over Mesoporous Silica-Supported Cu-Ni Composite Catalysts.	
34813071	2022	Enzymatic Oxidative Cascade for Oxofunctionalization of Fatty Acids in One-Pot.	
1904857	1991	Up-promoter mutations in the trpBA operon of Pseudomonas aeruginosa.	
23239596	2013	Catalytic conversion of furfural into a 2,5-furandicarboxylic acid-based polyester with total carbon utilization.	
33598103	2021	The impact of episporic modification of 	
35894861	2022	Accelerating electrochemically catalyzed nitrogen reductions using metalloporphyrin-mediated metal-nitrogen-doped carbon (M-N-C) catalysts.	
23293023	2013	Mechanical stability and fibrinolytic resistance of clots containing fibrin, DNA, and histones.	
20421197	2010	Finding metabolic pathways using atom tracking.	
25560932	2015	New emerging bio-catalysts design in biotransformations.	
16535649	1997	Culture Conditions Affect the Molecular Weight Properties of Hyaluronic Acid Produced by Streptococcus zooepidemicus.	
17307506	2007	Axillary versus femoral cannulation for aortic surgery: enough evidence for a general recommendation?	
28318785	2017	Biodegradation of polyester polyurethane by Aspergillus tubingensis.	
8368835	1993	Stoichiometric interpretation of Escherichia coli glucose catabolism under various oxygenation rates.	
15292130	2004	Biochemical characterization of StyAB from Pseudomonas sp. strain VLB120 as a two-component flavin-diffusible monooxygenase.	
31942072	2020	Improved protein structure prediction using potentials from deep learning.	
27688761	2016	Transparent antifouling material for improved operative field visibility in endoscopy.	
17196357	2007	Micro-algae as a source of protein.	
15520003	2005	Characterization of the iron-sulfur cluster N7 (N1c) in the subunit NuoG of the proton-translocating NADH-quinone oxidoreductase from Escherichia coli.	
23637604	2013	Differential adaptation of Candida albicans in vivo modulates immune recognition by dectin-1.	
23240780	2013	First principle approach to solvation by methylimidazolium-based ionic liquids.	
29552656	2017	Rapid generation of recombinant 	
34624271	2022	Challenges and opportunities in sustainable management of microplastics and nanoplastics in the environment.	
34151101	2021	Development of Lignin-Based Mesoporous Carbons for the Adsorption of Humic Acid.	
30883052	2019	A Fully Magnetically Levitated Left Ventricular Assist Device - Final Report.	
34454576	2021	Conversion of organosolv pretreated hardwood biomass into 5-hydroxymethylfurfural (HMF) by combining enzymatic hydrolysis and isomerization with homogeneous catalysis.	
24889800	1998	All-atom empirical potential for molecular modeling and dynamics studies of proteins.	
22409721	2012	Polyelectrolyte multilayers as a platform for luminescent nanocrystal patterned assemblies.	
35632869	2017	Covalent Cross-Linking of Porous Poly(ionic liquid) Membrane via a Triazine Network.	
34510924	2021	Chemical upcycling ofpolymers.	
12668455	2003	Crystal structures and molecular mechanism of a light-induced signaling switch: The Phot-LOV1 domain from Chlamydomonas reinhardtii.	
35325511	2022	Synthetic Routes for Designing Furanic and Non Furanic Biobased Surfactants from 5-Hydroxymethylfurfural.	
23208089	2013	Direct electrochemistry and Os-polymer-mediated bioelectrocatalysis of NADH oxidation by Escherichia coli flavohemoglobin at graphite electrodes.	
24275078	2014	The present and future of microplastic pollution in the marine environment.	
34156040	2021	Inorganic nanomaterials with rapid clearance for biomedical applications.	
26718083	2016	Subtle structural changes in the Asp251Gly/Gln307His P450 BM3 mutant responsible for new activity toward diclofenac, tolbutamide and ibuprofen.	
36099956	2023	Reflecting on the environmental impact of the captured carbon feedstock.	
31931991	2020	Biocatalytic hydrogenations on carbon supports.	
20832277	2010	A glucose sensor protein for continuous glucose monitoring.	
27894013	2017	Outer membrane protein design.	
32071788	2020	Synthesis of carbon-dots@SiO	
26840725	2016	Role of Electroosmosis in the Permeation of Neutral Molecules: CymA and Cyclodextrin as an Example.	
16668101	1991	Redox Transfer across the Inner Chloroplast Envelope Membrane.	
35159678	2022	Highly Efficient Photothermal Reduction of CO	
33878762	2021	EHRA expert consensus statement and practical guide on optimal implantation technique for conventional pacemakers and implantable cardioverter-defibrillators: endorsed by the Heart Rhythm Society (HRS), the Asia Pacific Heart Rhythm Society (APHRS), and the Latin-American Heart Rhythm Society (LAHRS).	
21028759	2010	Quantitative testing of robustness on superomniphobic surfaces by drop impact.	
27072033	2016	Achromobacter xylosoxidans as a new microorganism strain colonizing high-density polyethylene as a key step to its biodegradation.	
34686986	2022	Screening and Assessment of Pisatin Demethylase Activity (PDA ).	
34082947	2021	Bio-functional strontium-containing photocrosslinked alginate hydrogels for promoting the osteogenic behaviors.	
34594432	2021	Time- and Temperature-Dependent Growth Behavior of Ionic Liquids on Au(111) Studied by Atomic Force Microscopy in Ultrahigh Vacuum.	
18402972	2008	Transport of poly-L-lysine into oppositely charged poly(acrylic acid) microgels and its effect on gel deswelling.	
36014344	2022	A Plausible Mechanism for the Iridium-Catalyzed Hydrogenation of a Bulky 	
20018593	2010	Metabolic networks: how to identify key components in the regulation of metabolism and growth.	
27606440	2016	Applications of CRISPR technologies in research and beyond.	
21058640	2010	Preparation by grafting onto, characterization, and properties of thermally responsive polymer-decorated cellulose nanocrystals.	
34696916	2022	Capturing the signal of weak electricigens: a worthy endeavour.	
9154922	1997	Exceptionally stable salt bridges in cytochrome P450cam have functional roles.	
32947727	2020	Conventional and emerging technologies for removal of antibiotics from wastewater.	
28079879	2017	The ClusPro web server for protein-protein docking.	
34303807	2021	A chromosome-level reference genome of red swamp crayfish Procambarus clarkii provides insights into the gene families regarding growth or development in crustaceans.	
34727501	2022	Homogeneous Catalysis for Sustainable Energy: Hydrogen and Methanol Economies, Fuels from Biomass, and Related Topics.	
30192538	2018	On the Stability of Proteins Solvated in Imidazolium-Based Ionic Liquids Studied with Replica Exchange Molecular Dynamics.	
17909816	2008	Radiation dose estimates in dual-source computed tomography coronary angiography.	
23262457	2013	Hydroxylation of non-substituted polycyclic aromatic hydrocarbons by cytochrome P450 BM3 engineered by directed evolution.	
18001472	2007	Revealing biases inherent in recombination protocols.	
26061496	2015	Structure, dynamics, and function of the monooxygenase P450 BM-3: insights from computer simulations studies.	
34545382	2021	Experimental measurement and prediction of ionic liquid ionisation energies.	
11441170	2001	Drug delivery. Drugs on target.	
21590902	2010	Iron-Mediated ICAR ATRP of Styrene and Methyl Methacrylate in the Absence of Thermal Radical Initiator.	
30965736	2017	Detection of Black Plastics in the Middle Infrared Spectrum (MIR) Using Photon Up-Conversion Technique for Polymer Recycling Purposes.	
15803517	2005	Molecular basis of perhydrolase activity in serine hydrolases.	
31681386	2019	Light Regulation of Axillary Bud Outgrowth Along Plant Axes: An Overview of the Roles of Sugars and Hormones.	
17185229	2006	An inhibitor of human asparagine synthetase suppresses proliferation of an L-asparaginase-resistant leukemia cell line.	
34743885	2022	On the degradation of (micro)plastics: Degradation methods, influencing factors, environmental impacts.	
21732514	2011	Improved ruthenium-catalyzed amination of alcohols with ammonia: synthesis of diamines and amino esters.	
31127613	2020	Dynamics in plant roots and shoots minimize stress, save energy and maintain water and nutrient uptake.	
20660495	2010	High-throughput shoot imaging to study drought responses.	
30240534	2018	Antibody adsorption in protein-A affinity chromatography - in situ measurement of nanoscale structure by small-angle X-ray scattering.	
21433183	2011	Thermoresponsive block copolymer-protein conjugates prepared by grafting-from via RAFT polymerization.	
11053465	2000	Quantification of water transport in plants with NMR imaging.	
22525241	2012	Protein turnover and plant RNA and phosphorus requirements in relation to nitrogen fixation.	
35992341	2022	Biomimetic superhydrophobic metal/nonmetal surface manufactured by etching methods: A mini review.	
19505570	2009	Oestrogen receptors in the central nervous system and evidence for their role in the control of cardiovascular function.	
23657079	2014	Acute aortic dissection type A: age-related management and outcomes reported in the German Registry for Acute Aortic Dissection Type A (GERAADA) of over 2000 patients.	
16472746	2006	The backrub motion: how protein backbone shrugs when a sidechain dances.	
30464877	2018	Reviewing the relevance of dioxin and PCB sources for food from animal origin and the need for their inventory, control and management.	
23591118	2013	Hydrogenolysis of cellulose to C4-C7 alcohols over bi-functional CuO-MO/Al2O3 (M=Ce, Mg, Mn, Ni, Zn) catalysts coupled with methanol reforming reaction.	
35414981	2022	Label-free enzymatic reaction monitoring in water-in-oil microdroplets using ultra-broadband multiplex coherent anti-Stokes Raman scattering spectroscopy.	
14985532	2004	Altering the sequence specificity of HaeIII methyltransferase by directed evolution using in vitro compartmentalization.	
21482731	2011	Mucormycosis caused by unusual mucormycetes, non-Rhizopus, -Mucor, and -Lichtheimia species.	
35886841	2022	The MexJK Multidrug Efflux Pump Is Not Involved in Acquired or Intrinsic Antibiotic Resistance in 	
29096324	2017	Modern methods for laboratory diversification of biomolecules.	
34396489	2021	Production of rhamnolipids by the Thermoanaerobacter sp. CM-CNRG TB177 strain isolated from an oil well in Mexico.	
10551058	1999	Microbial findings at failing implants.	
11027725	2000	Effects of elevated [CO(2)] and nitrogen nutrition on cytokinins in the xylem sap and leaves of cotton.	
7104186	1982	Plasma protein binding of phenytoin in 100 epileptic patients.	
1946348	1991	Kinetics of insulin aggregation in aqueous solutions upon agitation in the presence of hydrophobic surfaces.	
27917931	2016	Metagenomic profiling of historic Colorado Front Range flood impact on distribution of riverine antibiotic resistance genes.	
22523423	2012	Complementarity in root architecture for nutrient uptake in ancient maize/bean and maize/bean/squash polycultures.	
36061436	2022	Identification of key amino acid residues toward improving the catalytic activity and substrate specificity of plant-derived cytochrome P450 monooxygenases CYP716A subfamily enzyme for triterpenoid production in 	
25749545	2015	Understanding the ionic liquid [NC4111][NTf2] from individual building blocks: an IR-spectroscopic study.	
12379143	2002	Synthetic and mechanistic studies of the cycloisomerization and cyclization/hydrosilylation of functionalized dienes catalyzed by cationic palladium(II) complexes.	
12442299	2002	Comparison of long-chain alcohols and other volatile compounds emitted from food-borne and related Gram positive and Gram negative bacteria.	
23987328	2013	Sulfonated hierarchical H-USY zeolite for efficient hydrolysis of hemicellulose/cellulose.	
27063492	2016	Zwitterionic nanogels crosslinked by fluorescent carbon dots for targeted drug delivery and simultaneous bioimaging.	
25642975	2015	Oxidation of Acenaphthene and Acenaphthylene by Human Cytochrome P450 Enzymes.	
32589894	2020	Comparison of simple expression procedures in novel expression host Vibrio natriegens and established Escherichia coli system.	
25501589	2014	Dissecting the phenotypic components of crop plant growth and drought responses based on high-throughput image analysis.	
34542149	2022	Fruit tree crop models: an update.	
34153684	2021	High-resolution structure of a naturally red-shifted LOV domain.	
33360113	2021	Recent advances in artificial enzyme cascades for the production of value-added chemicals.	
15334567	2004	Simultaneous 1H PFG-NMR and confocal microscopy of monolayer cell cultures: effects of apoptosis and necrosis on water diffusion and compartmentalization.	
16602080	2006	Structure elucidation of a new friedelane triterpene from the mangrove plant Hibiscus tiliaceus.	
15584708	2004	Hybrid microgels photoresponsive in the near-infrared spectral range.	
33512999	2021	Cooperative Heterometallic Catalysts for Lactide Ring-Opening Polymerization: Combining Aluminum with Divalent Metals.	
23675502	2013	Characterization of the metabolic requirements in yeast meiosis.	
19363203	2009	Raising yield potential in wheat.	
28926259	2017	Dual Photochemical Reaction Pathway in Flavin-Based Photoreceptor LOV Domain: A Combined Quantum-Mechanics/Molecular-Mechanics Investigation.	
29112382	2017	Iron(II) Complexes of a Hemilabile SNS Amido Ligand: Synthesis, Characterization, and Reactivity.	
33332702	2021	Use of Copper as a Trigger for the in Vivo Activity of E. coli Laccase CueO: A Simple Tool for Biosynthetic Purposes.	
32706584	2020	Hydrogenative Depolymerization of Nylons.	
22587302	2012	Conjugated microporous polymers as molecular sensing devices: microporous architecture enables rapid response and enhances sensitivity in fluorescence-on and fluorescence-off sensing.	
16423843	2006	Directed evolution of RuBisCO hypermorphs through genetic selection in engineered E.coli.	
32034164	2020	QTL mapping of modelled metabolic fluxes reveals gene variants impacting yeast central carbon metabolism.	
4381604	1966	Carbon monoxide concentrations and the effect of aminopterin on its production in the gas bladder of Physalia physalis.	
19893516	2010	Design considerations for tumour-targeted nanoparticles.	
16621678	2006	Directed evolution of enzymes and biosynthetic pathways.	
25802218	2015	Catalytic aerobic oxidation of phenols to ortho-quinones with air-stable copper precatalysts.	
35774449	2022	Biodegradation of Polyester Polyurethane by 	
22705714	2012	The temporal analysis of yeast exponential phase using shotgun proteomics as a fermentation monitoring technique.	
22770230	2012	Combined application of high-field diffusion NMR and molecular dynamics simulations to study dynamics in a mixture of carbon dioxide and an imidazolium-based ionic liquid.	
30145498	2018	Functional biomaterials towards flexible electronics and sensors.	
21246632	2011	Protein rigidity and thermophilic adaptation.	
28537381	2017	Collagen Gels with Different Fibrillar Microarchitectures Elicit Different Cellular Responses.	
31713452	2019	AuNPs as an important inorganic nanoparticle applied in drug carrier systems.	
25046580	2014	Graphene oxide as a water dissociation catalyst in the bipolar membrane interfacial layer.	
20202192	2010	Monitoring the regulation of gene expression in a growing organ using a fluid mechanics formalism.	
30698416	2019	Utility of B-Factors in Protein Science: Interpreting Rigidity, Flexibility, and Internal Motion and Engineering Thermostability.	
9677310	1998	Evaluation of the stoichiometry and energetics of carbohydrate binding to Ricinus communis agglutinin: a calorimetric study.	
32428727	2020	Artificial intelligence applications in solid waste management: A systematic research review.	
35606974	2013	Bioinspired Strategy to Reinforce PVA with Improved Toughness and Thermal Properties via Hydrogen-Bond Self-Assembly.	
28345091	2017	Solutal and thermal buoyancy effects in self-powered phosphatase micropumps.	
